,S-node-span,SSE-added-span,SSE-added-wrong,SS-node-span,SSE-node-span
17372,1385668.0,772037.0,0.0,8065.0,780102.0
17373,1679510.0,337992.0,0.0,217864.0,555856.0
17374,1082267.0,348648.0,0.0,132794.0,481442.0
17375,479606.0,370082.0,0.0,44159.0,414241.0
17376,491616.0,149909.0,0.0,112251.0,262160.0
17377,1812197.0,608570.0,0.0,981365.0,1589935.0
17378,2299444.0,855155.0,0.0,376168.0,1231323.0
17379,1388851.0,629335.0,0.0,625660.0,1254995.0
17380,957464.0,250181.0,0.0,422584.0,672765.0
17381,407631.0,339729.0,0.0,67902.0,407631.0
17382,747645.0,122479.0,0.0,186411.0,308890.0
17383,1428879.0,1090092.0,0.0,110205.0,1200297.0
17384,404970.0,44201.0,0.0,60709.0,104910.0
17385,285018.0,125384.0,0.0,112292.0,237676.0
17386,498132.0,174675.0,0.0,206572.0,381247.0
17387,753190.0,100326.0,0.0,634668.0,734994.0
17388,2008307.0,981655.0,0.0,225371.0,1207026.0
17389,1515569.0,31784.0,0.0,96839.0,128623.0
17390,757687.0,396095.0,16004.0,377596.0,773691.0
17391,1156045.0,596466.0,0.0,115573.0,712039.0
17392,1066362.0,63531.0,0.0,867073.0,930604.0
17393,1354823.0,591843.0,0.0,161909.0,753752.0
17394,899552.0,863412.0,0.0,36140.0,899552.0
17395,2469824.0,1753193.0,0.0,118294.0,1871487.0
17396,2004913.0,917580.0,0.0,462906.0,1380486.0
17397,1290999.0,704912.0,0.0,140984.0,845896.0
17398,1716151.0,527678.0,0.0,148109.0,675787.0
17399,4271469.0,788682.0,0.0,1497988.0,2286670.0
17400,832840.0,373351.0,0.0,445334.0,818685.0
17401,437942.0,72862.0,0.0,42548.0,115410.0
17402,822740.0,694189.0,0.0,128551.0,822740.0
17403,5310343.0,189607.0,0.0,462008.0,651615.0
17404,734749.0,152309.0,0.0,338982.0,491291.0
17405,770141.0,269062.0,0.0,473265.0,742327.0
17406,955622.0,645377.0,0.0,49036.0,694413.0
17407,1971845.0,1229512.0,0.0,298914.0,1528426.0
17408,2708790.0,635261.0,0.0,439198.0,1074459.0
17409,1971845.0,659877.0,0.0,416666.0,1076543.0
17410,1637811.0,335212.0,0.0,1091787.0,1426999.0
17411,1094081.0,771733.0,0.0,187980.0,959713.0
17412,2993543.0,885646.0,0.0,132695.0,1018341.0
17413,1843592.0,350074.0,0.0,206876.0,556950.0
17414,801193.0,377674.0,0.0,423519.0,801193.0
17415,2257123.0,1000783.0,0.0,127404.0,1128187.0
17416,768958.0,726770.0,0.0,42188.0,768958.0
17417,632730.0,418995.0,0.0,213735.0,632730.0
17418,609349.0,292682.0,0.0,288599.0,581281.0
17419,690600.0,176293.0,0.0,170236.0,346529.0
17420,3334239.0,847843.0,0.0,410312.0,1258155.0
17421,1428879.0,616121.0,0.0,584176.0,1200297.0
17422,1163605.0,270514.0,0.0,429203.0,699717.0
17423,3080697.0,2051078.0,0.0,530654.0,2581732.0
17424,238095.0,48281.0,0.0,149282.0,197563.0
17425,847466.0,721906.0,0.0,25341.0,747247.0
17426,2009673.0,371368.0,0.0,335697.0,707065.0
17427,981287.0,324676.0,0.0,382819.0,707495.0
17428,1826573.0,468487.0,0.0,304876.0,773363.0
17429,1815320.0,433675.0,0.0,308737.0,742412.0
17430,725750.0,278384.0,0.0,118247.0,396631.0
17431,1005106.0,780937.0,0.0,145355.0,926292.0
17432,1184748.0,570076.0,0.0,298823.0,868899.0
17433,1121586.0,242327.0,0.0,39575.0,281902.0
17434,2798323.0,1398795.0,0.0,458424.0,1857219.0
17435,2197943.0,668865.0,0.0,118278.0,787143.0
17436,659699.0,184137.0,0.0,260302.0,444439.0
17437,2717875.0,1614475.0,303968.0,126289.0,1740764.0
17438,2026120.0,1124042.0,0.0,39689.0,1163731.0
17439,3092964.0,1321953.0,0.0,207402.0,1529355.0
17440,1172457.0,418226.0,0.0,593258.0,1011484.0
17441,2548389.0,949020.0,85073.0,843170.0,1792190.0
17442,616201.0,381445.0,0.0,78205.0,459650.0
17443,1090361.0,766496.0,0.0,8093.0,774589.0
17444,467151.0,295830.0,0.0,29850.0,325680.0
17445,1328013.0,749467.0,88560.0,667106.0,1416573.0
17446,1070251.0,553362.0,0.0,89160.0,642522.0
17447,561487.0,517835.0,0.0,43652.0,561487.0
17448,1129678.0,225180.0,0.0,588726.0,813906.0
17449,824403.0,669875.0,0.0,154528.0,824403.0
17450,1251135.0,804516.0,0.0,180068.0,984584.0
17451,894214.0,219184.0,0.0,555742.0,774926.0
17452,613005.0,997164.0,582909.0,198750.0,1195914.0
17453,531913.0,310999.0,15146.0,48543.0,359542.0
17454,1048230.0,624700.0,0.0,423530.0,1048230.0
17455,830529.0,398358.0,0.0,256731.0,655089.0
17456,1044020.0,906414.0,0.0,63322.0,969736.0
17457,2775070.0,325230.0,18971.0,583343.0,908573.0
17458,528937.0,504258.0,0.0,24679.0,528937.0
17459,790048.0,464913.0,0.0,205955.0,670868.0
17460,1609403.0,972258.0,0.0,331742.0,1304000.0
17461,1868375.0,686377.0,0.0,96888.0,783265.0
17462,2949230.0,386020.0,0.0,100793.0,486813.0
17463,1837290.0,445831.0,0.0,170241.0,616072.0
17464,334492.0,332592.0,0.0,1900.0,334492.0
17465,491149.0,330167.0,0.0,56303.0,386470.0
17466,381789.0,305726.0,0.0,76063.0,381789.0
17467,2438803.0,999697.0,0.0,232066.0,1231763.0
17468,1335103.0,724660.0,0.0,610443.0,1335103.0
17469,2213715.0,392995.0,0.0,374694.0,767689.0
17470,1723649.0,1104396.0,0.0,222791.0,1327187.0
17471,1076877.0,532870.0,0.0,411212.0,944082.0
17472,2300316.0,514083.0,0.0,1440690.0,1954773.0
17473,933931.0,120138.0,0.0,596579.0,716717.0
17474,934119.0,612534.0,0.0,243456.0,855990.0
17475,42124.0,22010.0,0.0,20114.0,42124.0
17476,865443.0,430238.0,0.0,190225.0,620463.0
17477,306881.0,292073.0,0.0,14808.0,306881.0
17478,1766659.0,170612.0,0.0,132795.0,303407.0
17479,3278328.0,325479.0,0.0,366813.0,692292.0
17480,1321282.0,12960.0,0.0,143591.0,156551.0
17481,1286815.0,731384.0,0.0,343138.0,1074522.0
